action_id,action,output_type,canonical_text,source_lang,target_lang,target_locale,region,variant_id,is_primary,translation,register,formality,split,translator_id,reviewer_id,quality_status,notes
0,hello,phrase,Hello,en,fil,fil-PH,,v1,true,Kumusta,neutral,neutral,test,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
0,hello,phrase,Hello,en,ceb,ceb-PH,,v1,true,Kumusta,neutral,neutral,test,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
0,hello,phrase,Hello,en,ilo,ilo-PH,,v1,true,Kumusta,neutral,neutral,test,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
0,hello,phrase,Hello,en,pam,pam-PH,,v1,true,Kumusta,neutral,neutral,test,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
0,hello,phrase,Hello,en,hil,hil-PH,,v1,true,Kamusta,neutral,neutral,test,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
1,thank_you,phrase,Thank you,en,fil,fil-PH,,v1,true,Salamat,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
1,thank_you,phrase,Thank you,en,ceb,ceb-PH,,v1,true,Salamat,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
1,thank_you,phrase,Thank you,en,ilo,ilo-PH,,v1,true,Agyamanak,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
1,thank_you,phrase,Thank you,en,pam,pam-PH,,v1,true,Salamat,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
1,thank_you,phrase,Thank you,en,hil,hil-PH,,v1,true,Salamat,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
2,see_you_later,phrase,See you later,en,fil,fil-PH,,v1,true,Kita tayo mamaya,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
2,see_you_later,phrase,See you later,en,ceb,ceb-PH,,v1,true,Magkita ta unya,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
2,see_you_later,phrase,See you later,en,ilo,ilo-PH,,v1,true,Agkita ta inton madamdama,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
2,see_you_later,phrase,See you later,en,pam,pam-PH,,v1,true,Mikit ta ka pang muli,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
2,see_you_later,phrase,See you later,en,hil,hil-PH,,v1,true,Magkitaay kita sa ulihi,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
3,see,word,See,en,fil,fil-PH,,v1,true,Tingnan,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
3,see,word,See,en,ceb,ceb-PH,,v1,true,Tan-aw,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
3,see,word,See,en,ilo,ilo-PH,,v1,true,Kitaen,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
3,see,word,See,en,pam,pam-PH,,v1,true,Lawen,neutral,neutral,train,AI_DRAFT,,needs_native_review,Draft starter translation; validate with a native speaker before use.
