rule_id,sequence,normalized_sequence,canonical_text,source_lang,target_lang,target_locale,region,variant_id,is_primary,translation,priority,split,translator_id,reviewer_id,quality_status,notes
R001,help me,help me,Help me,en,fil,fil-PH,,v1,true,Tulungan mo ako,100,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R001,help me,help me,Help me,en,ceb,ceb-PH,,v1,true,Tabangi ko,100,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R001,help me,help me,Help me,en,ilo,ilo-PH,,v1,true,Tulongannak,100,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R001,help me,help me,Help me,en,pam,pam-PH,,v1,true,Saupan mu ku,100,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R001,help me,help me,Help me,en,hil,hil-PH,,v1,true,Buligi ako,100,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R002,please help me,please help me,Please help me,en,fil,fil-PH,,v1,true,"Pakiusap, tulungan mo ako",99,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R002,please help me,please help me,Please help me,en,ceb,ceb-PH,,v1,true,Palihug tabangi ko,99,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R002,please help me,please help me,Please help me,en,ilo,ilo-PH,,v1,true,"Pangngaasim, tulongannak",99,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R002,please help me,please help me,Please help me,en,pam,pam-PH,,v1,true,"Pakisabi, saupan mu ku",99,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R002,please help me,please help me,Please help me,en,hil,hil-PH,,v1,true,Palihog buligi ako,99,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R004,want eat_food,want eat_food,I want food,en,fil,fil-PH,,v1,true,Gusto ko ng pagkain,98,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R004,want eat_food,want eat_food,I want food,en,ceb,ceb-PH,,v1,true,Gusto ko og pagkaon,98,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R004,want eat_food,want eat_food,I want food,en,ilo,ilo-PH,,v1,true,Kayatko ti taraon,98,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R004,want eat_food,want eat_food,I want food,en,pam,pam-PH,,v1,true,Buri ku pamangan,98,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R004,want eat_food,want eat_food,I want food,en,hil,hil-PH,,v1,true,Gusto ko sang pagkaon,98,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R005,want more,want more,I want more,en,fil,fil-PH,,v1,true,Gusto ko pa,97,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R005,want more,want more,I want more,en,ceb,ceb-PH,,v1,true,Gusto pa ko,97,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R005,want more,want more,I want more,en,ilo,ilo-PH,,v1,true,Kayatko pay,97,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R005,want more,want more,I want more,en,pam,pam-PH,,v1,true,Buri ku pa,97,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R005,want more,want more,I want more,en,hil,hil-PH,,v1,true,Gusto ko pa,97,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R007,what name,what name,What is your name?,en,fil,fil-PH,,v1,true,Ano ang pangalan mo?,96,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R007,what name,what name,What is your name?,en,ceb,ceb-PH,,v1,true,Unsa imong ngalan?,96,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R007,what name,what name,What is your name?,en,ilo,ilo-PH,,v1,true,Ania ti naganmo?,96,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R007,what name,what name,What is your name?,en,pam,pam-PH,,v1,true,Nanu ing lagyu mu?,96,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R007,what name,what name,What is your name?,en,hil,hil-PH,,v1,true,Ano ang ngalan mo?,96,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R008,what you want,what you want,What do you want?,en,fil,fil-PH,,v1,true,Ano ang gusto mo?,95,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R008,what you want,what you want,What do you want?,en,ceb,ceb-PH,,v1,true,Unsa imong gusto?,95,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R008,what you want,what you want,What do you want?,en,ilo,ilo-PH,,v1,true,Ania ti kayatmo?,95,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R008,what you want,what you want,What do you want?,en,pam,pam-PH,,v1,true,Nanu ing buri mu?,95,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R008,what you want,what you want,What do you want?,en,hil,hil-PH,,v1,true,Ano ang gusto mo?,95,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R009,nice meet you,nice meet you,Nice to meet you,en,fil,fil-PH,,v1,true,Ikinagagalak kitang makilala,94,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R009,nice meet you,nice meet you,Nice to meet you,en,ceb,ceb-PH,,v1,true,Nalipay ko nga nakaila nimo,94,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R009,nice meet you,nice meet you,Nice to meet you,en,ilo,ilo-PH,,v1,true,Naragsakak nga naam-ammoanka,94,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R009,nice meet you,nice meet you,Nice to meet you,en,pam,pam-PH,,v1,true,Mayap a makilala daka,94,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R009,nice meet you,nice meet you,Nice to meet you,en,hil,hil-PH,,v1,true,Nalipay ako nga nakilala ka,94,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R010,see you later,see you later,See you later,en,fil,fil-PH,,v1,true,Kita tayo mamaya,93,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R010,see you later,see you later,See you later,en,ceb,ceb-PH,,v1,true,Magkita ta unya,93,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R010,see you later,see you later,See you later,en,ilo,ilo-PH,,v1,true,Agkita ta inton madamdama,93,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R010,see you later,see you later,See you later,en,pam,pam-PH,,v1,true,Mikit ta ka pang muli,93,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R010,see you later,see you later,See you later,en,hil,hil-PH,,v1,true,Magkitaay kita sa ulihi,93,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R011,see you,see you,See you,en,fil,fil-PH,,v1,true,Kita tayo,92,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R011,see you,see you,See you,en,ceb,ceb-PH,,v1,true,Magkita ta,92,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R011,see you,see you,See you,en,ilo,ilo-PH,,v1,true,Agkita ta,92,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R011,see you,see you,See you,en,pam,pam-PH,,v1,true,Mikit ta,92,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R011,see you,see you,See you,en,hil,hil-PH,,v1,true,Magkitaay kita,92,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R012,me fine,me fine,I am fine,en,fil,fil-PH,,v1,true,Mabuti ako,91,test,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
